"review_id","author","rating","text","timestamp_iso","timestamp_unix","thumbs_up","app_version","source_country","source_sort","avatar_url"
"b5466992-2e94-4f34-9ea3-48e3abbd6a3e","D NOYB","3","Fun. Not enough opportunities to win gold bars making it almost a necessity to spend real money. That is not a way to show respect to devoted players or inspire respect from them. Integrity is not high on the game makers list. Had a massive heart attack and brain surgery. Doc's say this is good therapy so I'll keep playing until I find a better game.","2023-11-30T12:21:49+00:00","1701346909","29","7.40.17","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjVuVNIiy5BSnuDaAXwKuf_0Bg-vQJgvG1Nzg_gSN4f8l4Qu4pjn"
"e4916993-c485-483e-ac05-7a590210a308","Anagha Mohandas","3","It was fun playing this game, all the tournaments, events for the extra rewards, but after logging in for saving my game all these tournaments and challenges disappeared and I lost all the friends whom I would compete...if this issue can be resolved then kindly fix it because it's very boring to play as an individual without any competitions!!","2023-11-29T17:57:52+00:00","1701280672","61","7.40.17","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocJek6GpFRI_44m5dU3JWimcCirX0-_wI1Q0Q4W7hJnhEVhNyA=mo"
"45da4538-7ebe-4c70-a235-a5496fd70501","Gtulloch Gloria TULLOCH","5","Very enjoyable loving it very relaxing, the games are getting really hard to compete,but still enjoying it. Still enjoying playing this game. The games are getting harder but I'm still enjoying them. The games are getting harder and harder to get through but I am still enjoying it. Amazing, im still enjoying this game.","2023-11-28T23:37:23+00:00","1701214643","31","7.40.17","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocJkxsC7ovTw54n0svdZlfuXa-AI6Q4cqHd1p99rO8aUc3xMQA=mo"
"bb613237-0a7c-4e79-a80a-ac4f1fdb8fa4","Richelle Vapin Frecklez","1","Unable to connect for the past week. So I have lost previous status!!! Glad I did not have any money lost here. SMH. I have been playing this game for years and have never had ths problem 😒","2023-11-24T20:23:09+00:00","1700857389","2","7.40.17","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjWW7Dndqq3XZh-1NwiZB5c8riRwSnJgqsEBTczUV0pihNDMRndt"
"15665d6b-fb2e-4926-92d1-cb797db3866d","Brittany Blankenship","3","I'm guessing the developers have abandoned this game? You collect fairy dust for basically nothing once the cats' home is finished. Its sad. And there's no more storyline with Morgana. You just endlessly follow it and play levels.","2023-11-23T05:34:36+00:00","1700717676","0","7.35.15","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjWzGFTWvk5AO8ZJ2Cb4YDkCBQYqjp1qmE-w4w7vNdLnHAnVge8a3A"
"f0ff8e5e-8844-4be8-bf25-6bcc636dce11","Angela L.","4","Love it but I've gone through so many levels and built everything possible with the stars. Would be nice to get to build maybe rooms in the witch's house like a library, bedroom, etc. We did the outside of her house and all these things for cats but I would love to do something for the cute little witch too!","2023-11-19T14:16:46+00:00","1700403406","18","7.40.15","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjVKMNH96Oy0kRORRUlGqOnib33ny3zuUmYnKGVq2VW2qbLBDH3F"
"df82eb4e-a892-4c54-8d3b-308381c4fa0e","Julie Ann","2","Fix the tree, please! I open it, and it says ""pick a tile,"" but the tiles are not only blank, but the game freezes! I had to Uninstall. I'm over 1,000 levels and now can't play at all.","2023-11-14T03:26:38+00:00","1699932398","0","","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjVIx5wMZBFsyXUxhBp7uc8v2VyAxCCbu1JWBGRgr19elasBQFY_iw"
"0b0f3dc5-a62b-4281-8e83-e0af03c523d4","Ethan Robie","1","It's...mediocre. I didn't think it was possible to make a BAD bubble shooter game, but King pulled it off. I spent more time watching the stupid little cinematics than playing. It's just a matching game, guys, you can't keep making it take MORE time between attempts when all I want is to get from one level to the next.","2023-11-12T10:21:18+00:00","1699784478","8","","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjXa0tK0y2TniFyPGFe-3fgm6qjBwRuXJiJz6hN4TSOScaySp0w"
"392bf31a-efb4-4b88-ab6e-f4fdc7d8d1f5","Karen Henderson","2","Started out as fun, but then to progress you have to watch ads every time, same ads bring boredom. Not sure the significance of the tree as you just spend chemistry bottles on upgrading the same scene with limited objects, but this doesn't seem to give you anything in return.","2023-11-04T23:36:51+00:00","1699141011","5","7.39.18","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocJPv4EYx-v3daP8GXPYK9Ej2FHT7RMOxKEKYSOhOYFhRwroOcx0=mo"
"fdc4c0c9-3a5b-4bb6-b569-31e7dd9db721","Lisa Gagliano","5","I can't believe I've been playing this game for soooo long! Nearing level 7000 🥴 Great stress reliever, great game!! A few more added ""challenges"" would be nice (hint) I have no idea how long I've been playing this game , it's mostly, if not all Bots at this point but until they take over, I'll most like keeping playing. It's the ONLY game I play on any device!!","2023-10-28T02:55:53+00:00","1698461753","1","7.39.18","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocJyWi9astcFrtTB7Yxn0NRKQmT9MP7NahuFo3J6thezknt5UA=mo"
